\HD,2,2.5,3,3.5,4,4.5
"SSA 10 cells (rho=2.5,d=0.5) means",0.152776,0.0834267,0.0542185,0.0288532,0.0157873,0.00975718
"SSA 10 cells (rho=2.5,d=0.5) std",0.0264296,0.0162755,0.00388941,0.00484137,0.00354083,0.000330426
"NeuralODE 10 cells (rho=2.5,d=0.5) means",0.135771,0.0739075,0.0460027,0.0307976,0.0126379,0.00987366
"NeuralODE 10 cells (rho=2.5,d=0.5) std",0.0326411,0.0175903,0.0098633,0.00685352,0.00123117,0.00125038
"SSA 10 cells (rho=1.0,d=1.0) means",0.0768786,0.0570516,0.0325394,0.0176404,0.0113941,0.00478154
"SSA 10 cells (rho=1.0,d=1.0) std",0.0181788,0.0113149,0.00683506,0.0025184,0.00338364,0.00240797
"NeuralODE 10 cells (rho=1.0,d=1.0) means",0.0746334,0.0487461,0.0315172,0.0146686,0.0110268,0.0116952
"NeuralODE 10 cells (rho=1.0,d=1.0) std",0.0213615,0.0182275,0.00744786,0.00505073,0.00447809,0.00246765
